# IC 5,# IC 6,Sameness Quotient,Coherence Quotient,Dissonance Median,Score
0,0,0.5,0.4,0.658328251,0.207757576
1,0,0.2,0.16,0.539146757,0.090705882
1,1,0.2,0.08,0.440917287,0.255935484
2,1,0.2,0.2,0.392072092,0.089666667
1,0,0.25,0.32,0.543872235,0.172342857
1,1,0.1,0.16,0.446266917,0.1276
2,1,0.05,0.2,0.370406429,0.178645161
1,1,0.1,0.2,0.340724379,0.166516129
2,1,0.25,0.32,0.445391941,0.211142857
3,1,0.05,0.28,0.365289694,0.071575758
2,1,0.1,0.44,0.307266072,0.077294118
3,2,0.25,0.52,0.395108078,0.0568125
2,2,0.2,0.6,0.327971493,0.153090909
1,0,0.25,0.32,0.661679045,0.159354839
1,1,0.25,0.4,0.543732115,0.126068966
1,1,0.1,0.28,0.448751367,0.2451875
2,0,0.2,0.32,0.408351499,0.145241379
2,1,0.2,0.4,0.548927667,0.22975
2,1,0.2,0.52,0.454571072,0.0808
3,0,0.1,0.56,0.38715591,0.297212121
2,2,0.1,0.52,0.454930659,0.226411765
3,1,0.2,0.8,0.383273738,0.325028571
1,2,0.2,0.6,0.346272088,0.14572973
2,1,0.25,0.32,0.667555742,0.233875
2,1,0.1,0.44,0.553354654,0.219611111
2,0,0.25,0.64,0.467706719,0.177030303
2,2,0.1,0.52,0.56003423,0.1635
2,1,0.15,0.8,0.475010448,0.150787879
2,1,0.25,0.96,0.429816209,0.136533333
2,1,0.2,0.8,0.479115878,0.172181818
3,2,0.25,0.52,0.681038416,0.125428571
3,1,0.25,0.8,0.577098235,0.248125
1,0,0.2,0.16,0.573816154,0.227235294
0,1,0.2,0.24,0.455578719,0.220645161
2,0,0.05,0.12,0.359808351,0.216571429
1,1,0.1,0.2,0.317262169,0.1089375
1,1,0.25,0.4,0.460666538,0.1889375
3,0,0.25,0.44,0.365520322,0.30683871
2,1,0.1,0.44,0.295958847,0.267714286
2,1,0.1,0.44,0.365589406,0.2274375
1,2,0.1,0.6,0.291786171,0.083151515
1,2,0.2,0.6,0.249042036,0.148222222
3,1,0.25,0.8,0.324063657,0.300647059
1,1,0.1,0.16,0.58177097,0.078909091
3,0,0.25,0.44,0.466625822,0.429642857
1,1,0.1,0.52,0.378518786,0.126842105
2,1,0.2,0.52,0.472943057,0.061823529
0,2,0.5,0.6,0.385460174,0.249714286
2,1,0.3,0.96,0.333966922,0.225612903
2,1,0.15,0.8,0.388621545,0.245485714
4,0,0.5,1,0.332886533,0.365454545
3,1,0.05,0.28,0.596279942,0.150965517
1,2,0.1,0.6,0.489537979,0.080628571
2,1,0.25,0.96,0.420388395,0.1085625
3,1,0.2,0.8,0.499390744,0.239
1,1,0.2,0.08,0.526086566,0.272764706
2,0,0.05,0.12,0.410650914,0.172516129
2,0,0.2,0.44,0.321754258,0.129875
1,1,0.1,0.28,0.416860417,0.215875
1,1,0.1,0.52,0.328587913,0.107
2,0,0.25,0.64,0.331458779,0.309
2,1,0.05,0.2,0.538348189,0.2023125
2,1,0.1,0.44,0.430662166,0.1569375
3,0,0.1,0.56,0.44015259,0.303823529
2,1,0.1,0.44,0.566301378,0.21537931
2,1,0.2,0.2,0.514354036,0.336444444
